Time,Latitude,Longitude,Altitude,PosX,PosY,PosZ,VelX,VelY,VelZ
0.0,36.0,-100.0,100000.0,-911114.7062217804,-5167188.268981914,3786970.20106054,-4999.853474296979,-458.06621047854424,-2245.5775294192135
1.0,35.9769875,-100.05288666666667,99749.7666666666,-916114.5596960774,-5167646.335192393,3784724.623531121,-4999.913580070832,-444.47569505590945,-2251.7727798991837
2.0,35.953975,-100.10577333333333,99489.7333333334,-921114.4732761482,-5168090.8108874485,3782472.8507512216,-4999.943522793357,-430.879951688461,-2257.9580580438487
3.0,35.9309625,-100.15866,99219.90000000037,-926114.4167989416,-5168521.690839137,3780214.892693178,-4999.943282766151,-417.27904199808836,-2264.133358244784
4.0,35.90795,-100.21154666666666,98940.2666666666,-931114.3600817077,-5168938.969881135,3777950.759334933,-4999.91284040641,-403.6730276439339,-2270.298674910795
5.0,35.8849375,-100.26443333333333,98650.83333333302,-936114.2729221141,-5169342.642908779,3775680.460660022,-4999.852176250424,-390.06197034195065,-2276.454002445098
6.0,35.861925,-100.31732,98351.59999999963,-941114.1250983645,-5169732.704879121,3773404.006657577,-4999.761270959978,-376.44593184720725,-2282.59933526814
7.0,35.8389125,-100.37020666666666,98042.56666666642,-946113.8863693245,-5170109.150810968,3771121.407322309,-4999.640105310013,-362.8249739650637,-2288.734667793382
8.0,35.8159,-100.42309333333333,97723.7333333334,-951113.5264746345,-5170471.975784933,3768832.6726545156,-4999.488660204457,-349.1991585576907,-2294.8599944515154
9.0,35.7928875,-100.47597999999999,97395.09999999963,-956113.015134839,-5170821.174943491,3766537.812660064,-4999.306916663307,-335.5685475161299,-2300.975309666712
10.0,35.769875,-100.52886666666666,97056.66666666698,-961112.3220515023,-5171156.743491007,3764236.8373503974,-4999.094855824253,-321.933202797547,-2307.0806078775786
11.0,35.7468625,-100.58175333333332,96708.43333333358,-966111.4169073266,-5171478.676693805,3761929.75674252,-4998.852458954207,-308.29318638984114,-2313.1758835217915
12.0,35.72385,-100.63463999999999,96350.40000000037,-971110.2693662808,-5171786.969880194,3759616.580858998,-4998.579707434401,-294.648560336791,-2319.261131049134
13.0,35.7008375,-100.68752666666666,95982.56666666642,-976108.8490737152,-5172081.618440531,3757297.319727949,-4998.2765827680705,-280.9993867268786,-2325.336344903335
14.0,35.677825,-100.74041333333332,95604.93333333358,-981107.1256564832,-5172362.617827258,3754971.9833830455,-4997.943066582666,-267.3457276923582,-2331.401519548148
15.0,35.6548125,-100.79329999999999,95217.5,-986105.0687230659,-5172629.96355495,3752640.5818634974,-4997.5791406260105,-253.68764541391283,-2337.456649439875
16.0,35.6318,-100.84618666666665,94820.2666666666,-991102.6478636919,-5172883.651200364,3750303.1252140575,-4997.184786762111,-240.02520211134106,-2343.5017290459946
17.0,35.6087875,-100.89907333333332,94413.2333333334,-996099.832650454,-5173123.676402476,3747959.6234850115,-4996.759986984893,-226.35846006218344,-2349.5367528395727
18.0,35.585775,-100.95195999999999,93996.40000000037,-1001096.5926374389,-5173350.034862538,3745610.086732172,-4996.304723405861,-212.68748157471418,-2355.5617152955383
19.0,35.5627625,-101.00484666666665,93569.7666666666,-1006092.8973608448,-5173562.722344113,3743254.5250168764,-4995.81897825317,-199.0123290102929,-2361.576610898599
20.0,35.53975,-101.05773333333332,93133.33333333302,-1011088.7163390979,-5173761.734673123,3740892.948405978,-4995.30273388722,-185.33306477870792,-2367.581434132997
